v, x, y
0.0, -0.5, -0.5
1.0, -0.495, -0.5
1.0, -0.49, -0.5
1.0, -0.485, -0.5
1.0, -0.48, -0.5
1.0, -0.475, -0.5
1.0, -0.47, -0.5
1.0, -0.46499999999999997, -0.5
1.0, -0.46, -0.5
1.0, -0.455, -0.5
1.0, -0.45, -0.5
1.0, -0.445, -0.5
1.0, -0.44, -0.5
1.0, -0.435, -0.5
1.0, -0.43, -0.5
1.0, -0.425, -0.5
1.0, -0.42, -0.5
1.0, -0.415, -0.5
1.0, -0.41000000000000003, -0.5
1.0, -0.405, -0.5
1.0, -0.4, -0.5
1.0, -0.395, -0.5
1.0, -0.39, -0.5
1.0, -0.385, -0.5
1.0, -0.38, -0.5
1.0, -0.375, -0.5
1.0, -0.37, -0.5
1.0, -0.365, -0.5
1.0, -0.36, -0.5
1.0, -0.355, -0.5
1.0, -0.35, -0.5
1.0, -0.345, -0.5
1.0, -0.33999999999999997, -0.5
1.0, -0.33499999999999996, -0.5
1.0, -0.32999999999999996, -0.5
1.0, -0.32499999999999996, -0.5
1.0, -0.32, -0.5
1.0, -0.315, -0.5
1.0, -0.31, -0.5
1.0, -0.305, -0.5
1.0, -0.3, -0.5
1.0, -0.295, -0.5
1.0, -0.29000000000000004, -0.5
1.0, -0.28500000000000003, -0.5
1.0, -0.28, -0.5
1.0, -0.275, -0.5
1.0, -0.27, -0.5
1.0, -0.265, -0.5
1.0, -0.26, -0.5
1.0, -0.255, -0.5
1.0, -0.25, -0.5
1.0, -0.245, -0.5
1.0, -0.24, -0.5
1.0, -0.235, -0.5
1.0, -0.22999999999999998, -0.5
1.0, -0.22499999999999998, -0.5
1.0, -0.21999999999999997, -0.5
1.0, -0.21499999999999997, -0.5
1.0, -0.21000000000000002, -0.5
1.0, -0.20500000000000002, -0.5
1.0, -0.2, -0.5
1.0, -0.195, -0.5
1.0, -0.19, -0.5
1.0, -0.185, -0.5
1.0, -0.18, -0.5
1.0, -0.175, -0.5
1.0, -0.16999999999999998, -0.5
1.0, -0.16499999999999998, -0.5
1.0, -0.15999999999999998, -0.5
1.0, -0.15499999999999997, -0.5
1.0, -0.14999999999999997, -0.5
1.0, -0.14500000000000002, -0.5
1.0, -0.14, -0.5
1.0, -0.135, -0.5
1.0, -0.13, -0.5
1.0, -0.125, -0.5
1.0, -0.12, -0.5
1.0, -0.11499999999999999, -0.5
1.0, -0.10999999999999999, -0.5
1.0, -0.10499999999999998, -0.5
1.0, -0.09999999999999998, -0.5
1.0, -0.09499999999999997, -0.5
1.0, -0.08999999999999997, -0.5
1.0, -0.08499999999999996, -0.5
1.0, -0.08000000000000002, -0.5
1.0, -0.07500000000000001, -0.5
1.0, -0.07, -0.5
1.0, -0.065, -0.5
1.0, -0.06, -0.5
1.0, -0.05499999999999999, -0.5
1.0, -0.04999999999999999, -0.5
1.0, -0.044999999999999984, -0.5
1.0, -0.03999999999999998, -0.5
1.0, -0.034999999999999976, -0.5
1.0, -0.02999999999999997, -0.5
1.0, -0.024999999999999967, -0.5
1.0, -0.020000000000000018, -0.5
1.0, -0.015000000000000013, -0.5
1.0, -0.010000000000000009, -0.5
1.0, -0.0050000000000000044, -0.5
1.0, 0.0, -0.5
1.0, 0.0050000000000000044, -0.5
1.0, 0.010000000000000009, -0.5
1.0, 0.015000000000000013, -0.5
1.0, 0.020000000000000018, -0.5
1.0, 0.025000000000000022, -0.5
1.0, 0.030000000000000027, -0.5
1.0, 0.03500000000000003, -0.5
1.0, 0.040000000000000036, -0.5
1.0, 0.04500000000000004, -0.5
1.0, 0.050000000000000044, -0.5
1.0, 0.05500000000000005, -0.5
1.0, 0.06000000000000005, -0.5
1.0, 0.06500000000000006, -0.5
1.0, 0.07000000000000006, -0.5
1.0, 0.07500000000000007, -0.5
1.0, 0.07999999999999996, -0.5
1.0, 0.08499999999999996, -0.5
1.0, 0.08999999999999997, -0.5
1.0, 0.09499999999999997, -0.5
1.0, 0.09999999999999998, -0.5
1.0, 0.10499999999999998, -0.5
1.0, 0.10999999999999999, -0.5
1.0, 0.11499999999999999, -0.5
1.0, 0.12, -0.5
1.0, 0.125, -0.5
1.0, 0.13, -0.5
1.0, 0.135, -0.5
1.0, 0.14, -0.5
1.0, 0.14500000000000002, -0.5
1.0, 0.15000000000000002, -0.5
1.0, 0.15500000000000003, -0.5
1.0, 0.16000000000000003, -0.5
1.0, 0.16500000000000004, -0.5
1.0, 0.17000000000000004, -0.5
1.0, 0.17500000000000004, -0.5
1.0, 0.18000000000000005, -0.5
1.0, 0.18500000000000005, -0.5
1.0, 0.19000000000000006, -0.5
1.0, 0.19500000000000006, -0.5
1.0, 0.20000000000000007, -0.5
1.0, 0.20499999999999996, -0.5
1.0, 0.20999999999999996, -0.5
1.0, 0.21499999999999997, -0.5
1.0, 0.21999999999999997, -0.5
1.0, 0.22499999999999998, -0.5
1.0, 0.22999999999999998, -0.5
1.0, 0.235, -0.5
1.0, 0.24, -0.5
1.0, 0.245, -0.5
1.0, 0.25, -0.5
1.0, 0.255, -0.5
1.0, 0.26, -0.5
1.0, 0.265, -0.5
1.0, 0.27, -0.5
1.0, 0.275, -0.5
1.0, 0.28, -0.5
1.0, 0.28500000000000003, -0.5
1.0, 0.29000000000000004, -0.5
1.0, 0.29500000000000004, -0.5
1.0, 0.30000000000000004, -0.5
1.0, 0.30500000000000005, -0.5
1.0, 0.31000000000000005, -0.5
1.0, 0.31500000000000006, -0.5
1.0, 0.32000000000000006, -0.5
1.0, 0.32500000000000007, -0.5
1.0, 0.33000000000000007, -0.5
1.0, 0.33499999999999996, -0.5
1.0, 0.33999999999999997, -0.5
1.0, 0.345, -0.5
1.0, 0.35, -0.5
1.0, 0.355, -0.5
1.0, 0.36, -0.5
1.0, 0.365, -0.5
1.0, 0.37, -0.5
1.0, 0.375, -0.5
1.0, 0.38, -0.5
1.0, 0.385, -0.5
1.0, 0.39, -0.5
1.0, 0.395, -0.5
1.0, 0.4, -0.5
1.0, 0.405, -0.5
1.0, 0.41000000000000003, -0.5
1.0, 0.41500000000000004, -0.5
1.0, 0.42000000000000004, -0.5
1.0, 0.42500000000000004, -0.5
1.0, 0.43000000000000005, -0.5
1.0, 0.43500000000000005, -0.5
1.0, 0.44000000000000006, -0.5
1.0, 0.44500000000000006, -0.5
1.0, 0.45000000000000007, -0.5
1.0, 0.45500000000000007, -0.5
1.0, 0.45999999999999996, -0.5
1.0, 0.46499999999999997, -0.5
1.0, 0.47, -0.5
1.0, 0.475, -0.5
1.0, 0.48, -0.5
1.0, 0.485, -0.5
1.0, 0.49, -0.5
1.0, 0.495, -0.5
0.0, 0.5, -0.5
0.0, -0.5, -0.495
0.4999999999999961, -0.495, -0.495
0.697652715028085, -0.49, -0.495
0.7906108601123597, -0.485, -0.495
0.8415045986876298, -0.48, -0.495
0.872873887815573, -0.475, -0.495
0.8939698397722045, -0.47, -0.495
0.9090859041452287, -0.46499999999999997, -0.495
0.9204375449586529, -0.46, -0.495
0.9292717815104967, -0.455, -0.495
0.936341203145988, -0.45, -0.495
0.9421260912801499, -0.445, -0.495
0.9469471152034683, -0.44, -0.495
0.9510264667380649, -0.435, -0.495
0.954522935777932, -0.43, -0.495
0.9575530052134572, -0.425, -0.495
0.9602040544754536, -0.42, -0.495
0.9625429110991827, -0.415, -0.495
0.9646215554220353, -0.41000000000000003, -0.495
0.9664810255470567, -0.405, -0.495
0.9681541516970816, -0.4, -0.495
0.9696675097864201, -0.395, -0.495
0.9710428424516307, -0.39, -0.495
0.9722981095200259, -0.385, -0.495
0.9734482759429182, -0.38, -0.495
0.9745059106734894, -0.375, -0.495
0.9754816473715613, -0.37, -0.495
0.9763845427477496, -0.365, -0.495
0.977222358131006, -0.36, -0.495
0.9780017827880388, -0.355, -0.495
0.9787286125834407, -0.35, -0.495
0.9794078940633374, -0.345, -0.495
0.9800440415251477, -0.33999999999999997, -0.495
0.9806409328029908, -0.33499999999999996, -0.495
0.9812019881503453, -0.32999999999999996, -0.495
0.9817302356001818, -0.32499999999999996, -0.495
0.9822283654317112, -0.32, -0.495
0.9826987758044825, -0.315, -0.495
0.9831436111867619, -0.31, -0.495
0.9835647948714208, -0.305, -0.495
0.9839640566139314, -0.3, -0.495
0.9843429562252031, -0.295, -0.495
0.9847029037933903, -0.29000000000000004, -0.495
0.9850451770833828, -0.28500000000000003, -0.495
0.9853709365629293, -0.28, -0.495
0.9856812384245321, -0.275, -0.495
0.9859770459080537, -0.27, -0.495
0.9862592391770719, -0.265, -0.495
0.9865286239598464, -0.26, -0.495
0.9867859391313317, -0.255, -0.495
0.9870318633844416, -0.25, -0.495
0.9872670211155203, -0.245, -0.495
0.9874919876297499, -0.24, -0.495
0.9877072937562628, -0.235, -0.495
0.9879134299494261, -0.22999999999999998, -0.495
0.9881108499416419, -0.22499999999999998, -0.495
0.9882999740036683, -0.21999999999999997, -0.495
0.9884811918606042, -0.21499999999999997, -0.495
0.9886548653050373, -0.21000000000000002, -0.495
0.988821330543225, -0.20500000000000002, -0.495
0.9889809003053937, -0.2, -0.495
0.9891338657471589, -0.195, -0.495
0.989280498165584, -0.19, -0.495
0.9894210505504053, -0.185, -0.495
0.989555758988378, -0.18, -0.495
0.9896848439364905, -0.175, -0.495
0.9898085113778741, -0.16999999999999998, -0.495
0.9899269538725857, -0.16499999999999998, -0.495
0.9900403515140007, -0.15999999999999998, -0.495
0.9901488728003051, -0.15499999999999997, -0.495
0.9902526754294841, -0.14999999999999997, -0.495
0.9903519070252577, -0.14500000000000002, -0.495
0.9904467058005716, -0.14, -0.495
0.9905372011645343, -0.135, -0.495
0.9906235142780322, -0.13, -0.495
0.9907057585627053, -0.125, -0.495
0.9907840401674531, -0.12, -0.495
0.9908584583962097, -0.11499999999999999, -0.495
0.9909291061003259, -0.10999999999999999, -0.495
0.9909960700385599, -0.10499999999999998, -0.495
0.991059431207358, -0.09999999999999998, -0.495
0.9911192651438405, -0.09499999999999997, -0.495
0.9911756422036592, -0.08999999999999997, -0.495
0.9912286278156697, -0.08499999999999996, -0.495
0.9912782827151719, -0.08000000000000002, -0.495
0.9913246631572872, -0.07500000000000001, -0.495
0.9913678211118853, -0.07, -0.495
0.9914078044413313, -0.065, -0.495
0.9914446570621859, -0.06, -0.495
0.9914784190918831, -0.05499999999999999, -0.495
0.9915091269812891, -0.04999999999999999, -0.495
0.9915368136339631, -0.044999999999999984, -0.495
0.9915615085128306, -0.03999999999999998, -0.495
0.9915832377349181, -0.034999999999999976, -0.495
0.9916020241546973, -0.02999999999999997, -0.495
0.9916178874365374, -0.024999999999999967, -0.495
0.9916308441166773, -0.020000000000000018, -0.495
0.9916409076550808, -0.015000000000000013, -0.495
0.991648088477467, -0.010000000000000009, -0.495
0.9916523940077572, -0.0050000000000000044, -0.495
0.9916538286911221, 0.0, -0.495
0.9916523940077571, 0.0050000000000000044, -0.495
0.991648088477467, 0.010000000000000009, -0.495
0.9916409076550807, 0.015000000000000013, -0.495
0.9916308441166773, 0.020000000000000018, -0.495
0.9916178874365374, 0.025000000000000022, -0.495
0.9916020241546973, 0.030000000000000027, -0.495
0.991583237734918, 0.03500000000000003, -0.495
0.9915615085128305, 0.040000000000000036, -0.495
0.9915368136339627, 0.04500000000000004, -0.495
0.991509126981289, 0.050000000000000044, -0.495
0.9914784190918828, 0.05500000000000005, -0.495
0.9914446570621859, 0.06000000000000005, -0.495
0.9914078044413311, 0.06500000000000006, -0.495
0.9913678211118853, 0.07000000000000006, -0.495
0.9913246631572871, 0.07500000000000007, -0.495
0.9912782827151719, 0.07999999999999996, -0.495
0.9912286278156697, 0.08499999999999996, -0.495
0.9911756422036592, 0.08999999999999997, -0.495
0.9911192651438405, 0.09499999999999997, -0.495
0.991059431207358, 0.09999999999999998, -0.495
0.99099607003856, 0.10499999999999998, -0.495
0.990929106100326, 0.10999999999999999, -0.495
0.9908584583962097, 0.11499999999999999, -0.495
0.9907840401674531, 0.12, -0.495
0.9907057585627053, 0.125, -0.495
0.9906235142780322, 0.13, -0.495
0.9905372011645341, 0.135, -0.495
0.9904467058005714, 0.14, -0.495
0.9903519070252573, 0.14500000000000002, -0.495
0.990252675429484, 0.15000000000000002, -0.495
0.990148872800305, 0.15500000000000003, -0.495
0.9900403515140007, 0.16000000000000003, -0.495
0.9899269538725856, 0.16500000000000004, -0.495
0.989808511377874, 0.17000000000000004, -0.495
0.9896848439364905, 0.17500000000000004, -0.495
0.989555758988378, 0.18000000000000005, -0.495
0.9894210505504054, 0.18500000000000005, -0.495
0.9892804981655842, 0.19000000000000006, -0.495
0.9891338657471589, 0.19500000000000006, -0.495
0.9889809003053938, 0.20000000000000007, -0.495
0.988821330543225, 0.20499999999999996, -0.495
0.9886548653050372, 0.20999999999999996, -0.495
0.9884811918606042, 0.21499999999999997, -0.495
0.9882999740036682, 0.21999999999999997, -0.495
0.9881108499416418, 0.22499999999999998, -0.495
0.987913429949426, 0.22999999999999998, -0.495
0.9877072937562628, 0.235, -0.495
0.9874919876297499, 0.24, -0.495
0.9872670211155203, 0.245, -0.495
0.9870318633844415, 0.25, -0.495
0.9867859391313316, 0.255, -0.495
0.9865286239598466, 0.26, -0.495
0.9862592391770721, 0.265, -0.495
0.9859770459080539, 0.27, -0.495
0.9856812384245323, 0.275, -0.495
0.9853709365629293, 0.28, -0.495
0.9850451770833828, 0.28500000000000003, -0.495
0.9847029037933903, 0.29000000000000004, -0.495
0.9843429562252032, 0.29500000000000004, -0.495
0.9839640566139315, 0.30000000000000004, -0.495
0.9835647948714208, 0.30500000000000005, -0.495
0.9831436111867617, 0.31000000000000005, -0.495
0.9826987758044825, 0.31500000000000006, -0.495
0.9822283654317113, 0.32000000000000006, -0.495
0.9817302356001818, 0.32500000000000007, -0.495
0.9812019881503453, 0.33000000000000007, -0.495
0.9806409328029908, 0.33499999999999996, -0.495
0.9800440415251477, 0.33999999999999997, -0.495
0.9794078940633372, 0.345, -0.495
0.9787286125834406, 0.35, -0.495
0.9780017827880387, 0.355, -0.495
0.9772223581310058, 0.36, -0.495
0.9763845427477493, 0.365, -0.495
0.9754816473715612, 0.37, -0.495
0.9745059106734892, 0.375, -0.495
0.9734482759429182, 0.38, -0.495
0.9722981095200259, 0.385, -0.495
0.9710428424516307, 0.39, -0.495
0.9696675097864201, 0.395, -0.495
0.9681541516970816, 0.4, -0.495
0.9664810255470567, 0.405, -0.495
0.9646215554220353, 0.41000000000000003, -0.495
0.9625429110991827, 0.41500000000000004, -0.495
0.9602040544754536, 0.42000000000000004, -0.495
0.9575530052134571, 0.42500000000000004, -0.495
0.9545229357779319, 0.43000000000000005, -0.495
0.9510264667380649, 0.43500000000000005, -0.495
0.9469471152034682, 0.44000000000000006, -0.495
0.9421260912801498, 0.44500000000000006, -0.495
0.9363412031459879, 0.45000000000000007, -0.495
0.9292717815104965, 0.45500000000000007, -0.495
0.9204375449586528, 0.45999999999999996, -0.495
