v, x, y
0.0, -0.5, -0.5
0.8, -0.4975, -0.5
0.8, -0.495, -0.5
0.8, -0.4925, -0.5
0.8, -0.49, -0.5
0.8, -0.4875, -0.5
0.8, -0.485, -0.5
0.8, -0.4825, -0.5
0.8, -0.48, -0.5
0.8, -0.4775, -0.5
0.8, -0.475, -0.5
0.8, -0.4725, -0.5
0.8, -0.47, -0.5
0.8, -0.4675, -0.5
0.8, -0.46499999999999997, -0.5
0.8, -0.4625, -0.5
0.8, -0.46, -0.5
0.8, -0.4575, -0.5
0.8, -0.455, -0.5
0.8, -0.4525, -0.5
0.8, -0.45, -0.5
0.8, -0.4475, -0.5
0.8, -0.445, -0.5
0.8, -0.4425, -0.5
0.8, -0.44, -0.5
0.8, -0.4375, -0.5
0.8, -0.435, -0.5
0.8, -0.4325, -0.5
0.8, -0.43, -0.5
0.8, -0.4275, -0.5
0.8, -0.425, -0.5
0.8, -0.4225, -0.5
0.8, -0.42, -0.5
0.8, -0.4175, -0.5
0.8, -0.415, -0.5
0.8, -0.4125, -0.5
0.8, -0.41000000000000003, -0.5
0.8, -0.4075, -0.5
0.8, -0.405, -0.5
0.8, -0.40249999999999997, -0.5
0.8, -0.4, -0.5
0.8, -0.39749999999999996, -0.5
0.8, -0.395, -0.5
0.8, -0.3925, -0.5
0.8, -0.39, -0.5
0.8, -0.3875, -0.5
0.8, -0.385, -0.5
0.8, -0.3825, -0.5
0.8, -0.38, -0.5
0.8, -0.3775, -0.5
0.8, -0.375, -0.5
0.8, -0.3725, -0.5
0.8, -0.37, -0.5
0.8, -0.3675, -0.5
0.8, -0.365, -0.5
0.8, -0.3625, -0.5
0.8, -0.36, -0.5
0.8, -0.3575, -0.5
0.8, -0.355, -0.5
0.8, -0.35250000000000004, -0.5
0.8, -0.35, -0.5
0.8, -0.34750000000000003, -0.5
0.8, -0.345, -0.5
0.8, -0.3425, -0.5
0.8, -0.33999999999999997, -0.5
0.8, -0.3375, -0.5
0.8, -0.33499999999999996, -0.5
0.8, -0.3325, -0.5
0.8, -0.32999999999999996, -0.5
0.8, -0.3275, -0.5
0.8, -0.32499999999999996, -0.5
0.8, -0.3225, -0.5
0.8, -0.32, -0.5
0.8, -0.3175, -0.5
0.8, -0.315, -0.5
0.8, -0.3125, -0.5
0.8, -0.31, -0.5
0.8, -0.3075, -0.5
0.8, -0.305, -0.5
0.8, -0.3025, -0.5
0.8, -0.3, -0.5
0.8, -0.2975, -0.5
0.8, -0.295, -0.5
0.8, -0.2925, -0.5
0.8, -0.29000000000000004, -0.5
0.8, -0.2875, -0.5
0.8, -0.28500000000000003, -0.5
0.8, -0.2825, -0.5
0.8, -0.28, -0.5
0.8, -0.27749999999999997, -0.5
0.8, -0.275, -0.5
0.8, -0.27249999999999996, -0.5
0.8, -0.27, -0.5
0.8, -0.26749999999999996, -0.5
0.8, -0.265, -0.5
0.8, -0.26249999999999996, -0.5
0.8, -0.26, -0.5
0.8, -0.2575, -0.5
0.8, -0.255, -0.5
0.8, -0.2525, -0.5
0.8, -0.25, -0.5
0.8, -0.2475, -0.5
0.8, -0.245, -0.5
0.8, -0.2425, -0.5
0.8, -0.24, -0.5
0.8, -0.2375, -0.5
0.8, -0.235, -0.5
0.8, -0.23249999999999998, -0.5
0.8, -0.22999999999999998, -0.5
0.8, -0.22749999999999998, -0.5
0.8, -0.22499999999999998, -0.5
0.8, -0.22249999999999998, -0.5
0.8, -0.21999999999999997, -0.5
0.8, -0.21749999999999997, -0.5
0.8, -0.21499999999999997, -0.5
0.8, -0.21249999999999997, -0.5
0.8, -0.21000000000000002, -0.5
0.8, -0.20750000000000002, -0.5
0.8, -0.20500000000000002, -0.5
0.8, -0.2025, -0.5
0.8, -0.2, -0.5
0.8, -0.1975, -0.5
0.8, -0.195, -0.5
0.8, -0.1925, -0.5
0.8, -0.19, -0.5
0.8, -0.1875, -0.5
0.8, -0.185, -0.5
0.8, -0.1825, -0.5
0.8, -0.18, -0.5
0.8, -0.1775, -0.5
0.8, -0.175, -0.5
0.8, -0.1725, -0.5
0.8, -0.16999999999999998, -0.5
0.8, -0.16749999999999998, -0.5
0.8, -0.16499999999999998, -0.5
0.8, -0.16249999999999998, -0.5
0.8, -0.15999999999999998, -0.5
0.8, -0.15749999999999997, -0.5
0.8, -0.15499999999999997, -0.5
0.8, -0.15249999999999997, -0.5
0.8, -0.14999999999999997, -0.5
0.8, -0.14750000000000002, -0.5
0.8, -0.14500000000000002, -0.5
0.8, -0.14250000000000002, -0.5
0.8, -0.14, -0.5
0.8, -0.1375, -0.5
0.8, -0.135, -0.5
0.8, -0.1325, -0.5
0.8, -0.13, -0.5
0.8, -0.1275, -0.5
0.8, -0.125, -0.5
0.8, -0.1225, -0.5
0.8, -0.12, -0.5
0.8, -0.1175, -0.5
0.8, -0.11499999999999999, -0.5
0.8, -0.11249999999999999, -0.5
0.8, -0.10999999999999999, -0.5
0.8, -0.10749999999999998, -0.5
0.8, -0.10499999999999998, -0.5
0.8, -0.10249999999999998, -0.5
0.8, -0.09999999999999998, -0.5
0.8, -0.09749999999999998, -0.5
0.8, -0.09499999999999997, -0.5
0.8, -0.09249999999999997, -0.5
0.8, -0.08999999999999997, -0.5
0.8, -0.08749999999999997, -0.5
0.8, -0.08499999999999996, -0.5
0.8, -0.08250000000000002, -0.5
0.8, -0.08000000000000002, -0.5
0.8, -0.07750000000000001, -0.5
0.8, -0.07500000000000001, -0.5
0.8, -0.07250000000000001, -0.5
0.8, -0.07, -0.5
0.8, -0.0675, -0.5
0.8, -0.065, -0.5
0.8, -0.0625, -0.5
0.8, -0.06, -0.5
0.8, -0.057499999999999996, -0.5
